VAR1	VAR2	VAR3	VAR4	VAR5	VAR6
	2.137370000000000e+3	1.755190000000000e+0		2.137370000000000e+3	2.520230000000000e+0
	2.157530000000000e+3	2.142240000000000e+0		2.157530000000000e+3	1.265160000000000e+1
	2.177700000000000e+3	2.046890000000000e+0		2.177700000000000e+3	2.371240000000000e-2
	2.197860000000000e+3	5.726449999999999e-1		2.197860000000000e+3	1.086530000000000e+1
	2.218020000000000e+3	3.141320000000000e+0		2.218020000000000e+3	4.804120000000000e+0
	2.238190000000000e+3	5.432720000000000e-3		2.238190000000000e+3	6.603940000000000e+1
	2.258350000000000e+3	1.763640000000000e+1		2.258350000000000e+3	7.986570000000000e+1
	2.278520000000000e+3	9.488980000000000e+0		2.278520000000000e+3	1.416450000000000e+2
	2.298680000000000e+3	6.516320000000000e+0		2.298680000000000e+3	8.259510000000000e+0
	2.318840000000000e+3	2.828910000000000e+1		2.318840000000000e+3	8.019460000000000e+0
	2.339010000000000e+3	1.198880000000000e+0		2.339010000000000e+3	2.090300000000000e+0
	2.359170000000000e+3	2.482230000000000e+0		2.359170000000000e+3	8.123200000000000e-1
	2.379340000000000e+3	8.806050000000000e-1		2.379340000000000e+3	2.112100000000000e+0
	2.399500000000000e+3	2.102630000000000e+0		2.399500000000000e+3	2.166480000000000e+1
	2.419660000000000e+3	2.397280000000000e+2		2.419660000000000e+3	4.143650000000000e+2
	2.439830000000000e+3	6.230890000000001e+2		2.439830000000000e+3	3.272570000000000e+2
	2.459990000000000e+3	1.758360000000000e+1		2.459990000000000e+3	1.171780000000000e+1
	2.480150000000000e+3	3.943280000000000e+0		2.480150000000000e+3	1.866160000000000e+1
	2.500320000000000e+3	1.753380000000000e+1		2.500320000000000e+3	5.096400000000000e-1
	2.520480000000000e+3	3.016640000000000e-2		2.520480000000000e+3	2.223620000000000e+1
	2.540650000000000e+3	1.204170000000000e-2		2.540650000000000e+3	1.554300000000000e+1
	2.560810000000000e+3	2.326800000000000e+0		2.560810000000000e+3	8.628440000000000e+0
	2.580970000000000e+3	2.085290000000000e+0		2.580970000000000e+3	2.603810000000000e-1
	2.601140000000000e+3	1.922220000000000e+0		2.601140000000000e+3	1.466060000000000e+1
	2.621300000000000e+3	1.438550000000000e+0		2.621300000000000e+3	1.062560000000000e+0
	2.641470000000000e+3	6.861900000000000e-2		2.641470000000000e+3	1.762840000000000e-2
	2.661630000000000e+3	2.720240000000000e+0		2.661630000000000e+3	2.555310000000000e-2
	2.681790000000000e+3	4.737400000000000e-1		2.681790000000000e+3	3.199360000000000e+0
	2.701960000000000e+3	5.865070000000000e-2		2.701960000000000e+3	2.052840000000000e+0
	2.722120000000000e+3	4.573650000000000e-2		2.722120000000000e+3	2.111540000000000e-1
	2.742290000000000e+3	9.167960000000000e-1		2.742290000000000e+3	1.006800000000000e+1
	2.762450000000000e+3	5.080570000000000e-2		2.762450000000000e+3	1.946380000000000e-1
	2.782610000000000e+3	4.214270000000000e-1		2.782610000000000e+3	1.798530000000000e-3
	2.802780000000000e+3	1.105310000000000e+0		2.802780000000000e+3	1.918010000000000e+0
	2.822940000000000e+3	5.242560000000000e-2		2.822940000000000e+3	1.353630000000000e+1
	2.843100000000000e+3	7.195369999999999e-7		2.843100000000000e+3	1.603780000000000e+1
	2.863270000000000e+3	2.175110000000000e-1		2.863270000000000e+3	4.799610000000000e+1
	2.883430000000000e+3	3.883430000000000e-2		2.883430000000000e+3	2.198100000000000e-1
	2.903600000000000e+3	5.607330000000000e-1		2.903600000000000e+3	1.074120000000000e-2
	2.923760000000000e+3	1.267640000000000e+0		2.923760000000000e+3	2.108950000000000e-2
	2.943920000000000e+3	9.972560000000000e-1		2.943920000000000e+3	7.501380000000000e-1
	2.964090000000000e+3	1.984890000000000e-2		2.964090000000000e+3	1.753580000000000e+0
	2.984250000000000e+3	2.599500000000000e-2		2.984250000000000e+3	4.179960000000000e-1
	3.004420000000000e+3	1.399760000000000e-2		3.004420000000000e+3	4.534760000000000e-1
	3.024580000000000e+3	4.807950000000000e-2		3.024580000000000e+3	1.109040000000000e-1
	3.044740000000000e+3	9.182420000000000e-1		3.044740000000000e+3	8.684640000000000e-2
	3.064910000000000e+3	3.456140000000000e-3		3.064910000000000e+3	7.434510000000000e-1
	3.085070000000000e+3	7.356340000000000e-2		3.085070000000000e+3	4.107670000000000e-1
	3.105230000000000e+3	2.224230000000000e-1		3.105230000000000e+3	2.700600000000000e-1
