# E (eV)  pdos(E) 
  -15.854000092   13.803644180
  -15.833999634   12.144448280
  -15.814000130   10.239654541
  -15.793999672    8.281878471
  -15.774000168    6.426568508
  -15.753999710    4.785076141
  -15.734000206    3.419540405
  -15.713999748    2.349042177
  -15.694000244    1.553236604
  -15.673999786    0.992160559
  -15.654000282    0.614614427
  -15.633999825    0.372678787
  -15.614000320    0.224255592
  -15.593999863    0.136817560
  -15.574000359    0.087183900
  -15.553999901    0.059800111
  -15.534000397    0.044950396
  -15.513999939    0.036919709
  -15.494000435    0.032482099
  -15.473999977    0.029919403
  -15.454000473    0.028342005
  -15.434000015    0.027285099
  -15.413999557    0.026506297
  -15.394000053    0.025896600
  -15.373999596    0.025397295
  -15.354000092    0.025026701
  -15.333999634    0.024823800
  -15.314000130    0.024909200
  -15.293999672    0.025551507
  -15.274000168    0.027273400
  -15.253999710    0.031075208
  -15.234000206    0.038905103
  -15.213999748    0.054151412
  -15.194000244    0.082493097
  -15.173999786    0.133163646
  -15.154000282    0.218845651
  -15.133999825    0.358229071
  -15.114000320    0.574033976
  -15.093999863    0.892140090
  -15.074000359    1.338169098
  -15.053999901    1.930981636
  -15.034000397    2.675159693
  -15.013999939    3.559021473
  -14.994000435    4.542779922
  -14.973999977    5.566740036
  -14.954000473    6.544885159
  -14.934000015    7.393508911
  -14.913999557    8.034235954
  -14.894000053    8.423991203
  -14.873999596    8.553434372
  -14.854000092    8.459218979
  -14.833999634    8.220670700
  -14.814000130    7.938618183
  -14.793999672    7.720049381
  -14.774000168    7.639462948
  -14.753999710    7.735407829
  -14.734000206    8.006560326
  -14.713999748    8.424790382
  -14.694000244    8.910539627
  -14.673999786    9.415246010
  -14.654000282    9.917260170
  -14.633999825   10.427597046
  -14.614000320   11.012901306
  -14.593999863   11.760499001
  -14.574000359   12.762299538
  -14.553999901   14.093800545
  -14.534000397   15.752099037
  -14.513999939   17.646501541
  -14.494000435   19.625200272
  -14.473999977   21.449802399
  -14.454000473   22.908203125
  -14.434000015   23.763004303
  -14.413999557   23.897691727
  -14.394000053   23.288450241
  -14.373999596   22.015281677
  -14.354000092   20.255764008
  -14.333999634   18.243011475
  -14.314000130   16.226976395
  -14.293999672   14.402490616
  -14.274000168   12.887798309
  -14.253999710   11.719938278
  -14.234000206   10.855719566
  -14.213999748   10.187546730
  -14.194000244    9.596976280
  -14.173999786    8.978220940
  -14.154000282    8.248239517
  -14.133999825    7.389555931
  -14.114000320    6.413327694
  -14.093999863    5.377828121
  -14.074000359    4.357611656
  -14.053999901    3.415995359
  -14.034000397    2.615842581
  -14.013999939    2.002305269
  -13.994000435    1.606159925
  -13.973999977    1.450212955
  -13.954000473    1.556381226
  -13.934000015    1.946049929
  -13.913999557    2.641924381
  -13.894000053    3.658692837
  -13.873999596    4.992895126
  -13.854000092    6.611005306
  -13.833999634    8.431752205
  -13.814000130   10.341072083
  -13.793999672   12.162385941
  -13.774000168   13.734663010
  -13.753999710   14.870716095
  -13.734000206   15.449897766
  -13.713999748   15.394081116
  -13.694000244   14.734418869
  -13.673999786   13.534261703
  -13.654000282   11.981024742
  -13.633999825   10.251629829
  -13.614000320    8.557843208
  -13.593999863    7.069935322
  -13.574000359    5.924033165
  -13.553999901    5.205728531
  -13.534000397    4.941095829
  -13.513999939    5.107514381
  -13.494000435    5.636954784
  -13.473999977    6.439340591
  -13.454000473    7.393861294
  -13.434000015    8.392934799
  -13.413999557    9.337777138
  -13.394000053   10.154449463
  -13.373999596   10.800911903
  -13.354000092   11.254570007
  -13.333999634   11.531032562
  -13.314000130   11.631147385
  -13.293999672   11.567584991
  -13.274000168   11.343304634
  -13.253999710   10.947765350
  -13.234000206   10.378570557
  -13.213999748    9.635879517
  -13.194000244    8.735623360
  -13.173999786    7.719769001
  -13.154000282    6.643029213
  -13.133999825    5.574247837
  -13.114000320    4.571430683
  -13.093999863    3.688908339
  -13.074000359    2.952920675
  -13.053999901    2.375864267
  -13.034000397    1.951228738
  -13.013999939    1.663154125
  -12.994000435    1.492209077
  -12.973999977    1.422547102
  -12.954000473    1.444224238
  -12.934000015    1.557206511
  -12.913999557    1.768549800
  -12.894000053    2.090562344
  -12.873999596    2.533627987
  -12.854000092    3.100808382
  -12.833999634    3.782760143
  -12.814000130    4.550810337
  -12.793999672    5.350240231
  -12.774000168    6.120978832
  -12.753999710    6.785149097
  -12.734000206    7.271019459
  -12.713999748    7.527850151
  -12.694000244    7.529069901
  -12.673999786    7.281188965
  -12.654000282    6.825849533
  -12.633999825    6.226409912
  -12.614000320    5.569639206
  -12.593999863    4.947699547
  -12.574000359    4.435230255
  -12.553999901    4.096079350
  -12.534000397    3.978949070
  -12.513999939    4.110640049
  -12.494000435    4.499929905
  -12.473999977    5.133282661
  -12.454000473    5.985401630
  -12.434000015    7.013491154
  -12.413999557    8.156407356
  -12.394000053    9.328057289
  -12.373999596   10.458508492
  -12.354000092   11.438971519
  -12.333999634   12.187171936
  -12.314000130   12.641243935
  -12.293999672   12.751765251
  -12.274000168   12.521925926
  -12.253999710   11.973563194
  -12.234000206   11.195640564
  -12.213999748   10.272517204
  -12.194000244    9.317598343
  -12.173999786    8.441754341
  -12.154000282    7.744997501
  -12.133999825    7.294640064
  -12.114000320    7.138378620
  -12.093999863    7.292650223
  -12.074000359    7.756970406
  -12.053999901    8.493200302
  -12.034000397    9.478689194
  -12.013999939   10.664432526
  -11.994000435   12.011649132
  -11.973999977   13.465379715
  -11.954000473   14.965547562
  -11.934000015   16.419555664
  -11.913999557   17.730834961
  -11.894000053   18.775957108
  -11.873999596   19.429782867
  -11.854000092   19.593088150
  -11.833999634   19.193014145
  -11.814000130   18.229648590
  -11.793999672   16.767036438
  -11.774000168   14.919356346
  -11.753999710   12.840020180
  -11.734000206   10.707965851
  -11.713999748    8.675667763
  -11.694000244    6.860308647
  -11.673999786    5.334072113
  -11.654000282    4.117298126
  -11.633999825    3.203928232
  -11.614000320    2.541409969
  -11.593999863    2.083357096
  -11.574000359    1.774254441
  -11.553999901    1.569240093
  -11.534000397    1.438083410
  -11.513999939    1.362217069
  -11.494000435    1.335326076
  -11.473999977    1.358464241
  -11.454000473    1.436505318
  -11.434000015    1.572388053
  -11.413999557    1.765622020
  -11.394000053    2.012099028
  -11.373999596    2.297180891
  -11.354000092    2.612051487
  -11.333999634    2.933676004
  -11.314000130    3.248274326
  -11.293999672    3.542090178
  -11.274000168    3.795075417
  -11.253999710    4.009514809
  -11.234000206    4.175958633
  -11.213999748    4.289827824
  -11.194000244    4.349091053
  -11.173999786    4.365553379
  -11.154000282    4.331954479
  -11.133999825    4.262589455
  -11.114000320    4.173892021
  -11.093999863    4.081226826
  -11.074000359    4.001696587
  -11.053999901    3.969030142
  -11.034000397    4.018067360
  -11.013999939    4.180784702
  -10.994000435    4.495688438
  -10.973999977    5.003508568
  -10.954000473    5.742171288
  -10.934000015    6.737459183
  -10.913999557    8.004559517
  -10.894000053    9.521594048
  -10.873999596   11.241806984
  -10.854000092   13.072002411
  -10.833999634   14.888942719
  -10.814000130   16.557556152
  -10.793999672   17.896617889
  -10.774000168   18.785888672
  -10.753999710   19.135099411
  -10.734000206   18.900054932
  -10.713999748   18.091978073
  -10.694000244   16.813268661
  -10.673999786   15.200946808
  -10.654000282   13.386820793
  -10.633999825   11.553805351
  -10.614000320    9.835630417
  -10.593999863    8.359022141
