# E (eV)  pdos(E) 
  -20.732000351    0.051738892
  -20.711999893    0.052883107
  -20.691999435    0.054341111
  -20.672000885    0.055896208
  -20.652000427    0.057296492
  -20.631999969    0.058319606
  -20.611999512    0.058762595
  -20.591999054    0.058485288
  -20.572000504    0.057433598
  -20.552000046    0.055628706
  -20.531999588    0.053198010
  -20.511999130    0.050339494
  -20.492000580    0.047298491
  -20.472000122    0.044303890
  -20.451999664    0.041608606
  -20.431999207    0.039378185
  -20.412000656    0.037752096
  -20.392000198    0.036770098
  -20.371999741    0.036414497
  -20.351999283    0.036624491
  -20.332000732    0.037298802
  -20.312000275    0.038319007
  -20.291999817    0.039574698
  -20.271999359    0.040961713
  -20.252000809    0.042420898
  -20.232000351    0.043881297
  -20.211999893    0.045304488
  -20.191999435    0.046647299
  -20.172000885    0.047857694
  -20.152000427    0.048896000
  -20.131999969    0.049718108
  -20.111999512    0.050336000
  -20.091999054    0.050802797
  -20.072000504    0.051193614
  -20.052000046    0.051697999
  -20.031999588    0.052437805
  -20.011999130    0.053661309
  -19.992000580    0.055517409
  -19.972000122    0.058098685
  -19.951999664    0.061479006
  -19.931999207    0.065563783
  -19.912000656    0.070356518
  -19.892000198    0.075831883
  -19.871999741    0.082135312
  -19.851999283    0.089969024
  -19.832000732    0.100476712
  -19.812000275    0.116166987
  -19.791999817    0.141008720
  -19.771999359    0.181340024
  -19.752000809    0.246502697
  -19.732000351    0.349525571
  -19.711999893    0.507397652
  -19.691999435    0.740697861
  -19.672000885    1.071217299
  -19.652000427    1.520278811
  -19.631999969    2.101616144
  -19.611999512    2.812720299
  -19.591999054    3.641948462
  -19.572000504    4.546446323
  -19.552000046    5.466060638
  -19.531999588    6.322955608
  -19.511999130    7.037724972
  -19.492000580    7.531609535
  -19.472000122    7.748070717
  -19.451999664    7.663801670
  -19.431999207    7.298561573
  -19.412000656    6.700684071
  -19.392000198    5.956381798
  -19.371999741    5.158228874
  -19.351999283    4.417102337
  -19.332000732    3.818272352
  -19.312000275    3.439330339
  -19.291999817    3.327495337
  -19.271999359    3.500751734
  -19.252000809    3.941687107
  -19.232000351    4.606511593
  -19.211999893    5.418554306
