#  E (eV)   dos(E)     Int dos(E)
-42.580  0.2640E-83  0.1964E-82
-42.560  0.2640E-83  0.1969E-82
-42.540  0.2640E-83  0.1975E-82
-42.520  0.2640E-83  0.1980E-82
-42.500  0.2640E-83  0.1985E-82
-42.480  0.2640E-83  0.1990E-82
-42.460  0.2640E-83  0.1996E-82
-42.440  0.2640E-83  0.2001E-82
-42.420  0.2640E-83  0.2006E-82
-42.400  0.2640E-83  0.2012E-82
-42.380  0.2640E-83  0.2017E-82
-42.360  0.2640E-83  0.2022E-82
-42.340  0.2640E-83  0.2027E-82
-42.320  0.2640E-83  0.2033E-82
-42.300  0.2640E-83  0.2038E-82
-42.280  0.2640E-83  0.2043E-82
-42.260  0.2640E-83  0.2048E-82
-42.240  0.2640E-83  0.2054E-82
-42.220  0.2640E-83  0.2059E-82
-42.200  0.2640E-83  0.2064E-82
-42.180  0.2640E-83  0.2070E-82
-42.160  0.2640E-83  0.2075E-82
-42.140  0.2640E-83  0.2080E-82
-42.120  0.2640E-83  0.2085E-82
-42.100  0.2640E-83  0.2091E-82
-42.080  0.2640E-83  0.2096E-82
-42.060  0.2640E-83  0.2101E-82
-42.040  0.2640E-83  0.2107E-82
-42.020  0.2640E-83  0.2112E-82
-42.000  0.2640E-83  0.2117E-82
-41.980  0.2640E-83  0.2122E-82
-41.960  0.2640E-83  0.2128E-82
-41.940  0.2640E-83  0.2133E-82
-41.920  0.2640E-83  0.2138E-82
-41.900  0.2640E-83  0.2143E-82
-41.880  0.2640E-83  0.2149E-82
-41.860  0.2640E-83  0.2154E-82
-41.840  0.2640E-83  0.2159E-82
-41.820  0.2640E-83  0.2165E-82
-41.800  0.2640E-83  0.2170E-82
-41.780  0.2640E-83  0.2175E-82
-41.760  0.2640E-83  0.2180E-82
-41.740  0.2640E-83  0.2186E-82
-41.720  0.2640E-83  0.2191E-82
-41.700  0.2640E-83  0.2196E-82
-41.680  0.2640E-83  0.2202E-82
-41.660  0.2640E-83  0.2207E-82
-41.640  0.2640E-83  0.2212E-82
-41.620  0.2640E-83  0.2217E-82
-41.600  0.2640E-83  0.2223E-82
-41.580  0.2640E-83  0.2228E-82
-41.560  0.2640E-83  0.2233E-82
-41.540  0.2640E-83  0.2239E-82
-41.520  0.2640E-83  0.2244E-82
-41.500  0.2640E-83  0.2249E-82
-41.480  0.2640E-83  0.2254E-82
-41.460  0.2640E-83  0.2260E-82
-41.440  0.2640E-83  0.2265E-82
-41.420  0.2640E-83  0.2270E-82
-41.400  0.2640E-83  0.2275E-82
-41.380  0.2640E-83  0.2281E-82
-41.360  0.2640E-83  0.2286E-82
-41.340  0.2640E-83  0.2291E-82
-41.320  0.2640E-83  0.2297E-82
-41.300  0.2640E-83  0.2302E-82
-41.280  0.2640E-83  0.2307E-82
-41.260  0.2640E-83  0.2312E-82
-41.240  0.2640E-83  0.2318E-82
-41.220  0.2640E-83  0.2323E-82
-41.200  0.2640E-83  0.2328E-82
-41.180  0.2640E-83  0.2334E-82
-41.160  0.2640E-83  0.2339E-82
-41.140  0.2640E-83  0.2344E-82
-41.120  0.2640E-83  0.2349E-82
-41.100  0.2640E-83  0.2355E-82
-41.080  0.2640E-83  0.2360E-82
-41.060  0.2640E-83  0.2365E-82
-41.040  0.2640E-83  0.2371E-82
-41.020  0.2640E-83  0.2376E-82
-41.000  0.2640E-83  0.2381E-82
-40.980  0.2640E-83  0.2386E-82
-40.960  0.2640E-83  0.2392E-82
-40.940  0.2640E-83  0.2397E-82
-40.920  0.2640E-83  0.2402E-82
-40.900  0.2640E-83  0.2407E-82
-40.880  0.2640E-83  0.2413E-82
-40.860  0.2640E-83  0.2418E-82
-40.840  0.2640E-83  0.2423E-82
-40.820  0.2640E-83  0.2429E-82
-40.800  0.2640E-83  0.2434E-82
-40.780  0.2640E-83  0.2439E-82
-40.760  0.2640E-83  0.2444E-82
-40.740  0.2640E-83  0.2450E-82
-40.720  0.2640E-83  0.2455E-82
-40.700  0.2640E-83  0.2460E-82
-40.680  0.2640E-83  0.2466E-82
-40.660  0.2640E-83  0.2471E-82
-40.640  0.2640E-83  0.2476E-82
-40.620  0.2640E-83  0.2481E-82
-40.600  0.2640E-83  0.2487E-82
-40.580  0.2640E-83  0.2492E-82
-40.560  0.2640E-83  0.2497E-82
-40.540  0.2640E-83  0.2503E-82
-40.520  0.2640E-83  0.2508E-82
-40.500  0.2640E-83  0.2513E-82
-40.480  0.2640E-83  0.2518E-82
-40.460  0.2640E-83  0.2524E-82
-40.440  0.2640E-83  0.2529E-82
-40.420  0.2640E-83  0.2534E-82
-40.400  0.2640E-83  0.2539E-82
-40.380  0.2640E-83  0.2545E-82
-40.360  0.2640E-83  0.2550E-82
-40.340  0.2640E-83  0.2555E-82
-40.320  0.2640E-83  0.2561E-82
-40.300  0.2640E-83  0.2566E-82
-40.280  0.2640E-83  0.2571E-82
-40.260  0.2640E-83  0.2576E-82
-40.240  0.2640E-83  0.2582E-82
-40.220  0.2640E-83  0.2587E-82
-40.200  0.2640E-83  0.2592E-82
-40.180  0.2640E-83  0.2598E-82
-40.160  0.2640E-83  0.2603E-82
-40.140  0.2640E-83  0.2608E-82
-40.120  0.2640E-83  0.2613E-82
-40.100  0.2640E-83  0.2619E-82
