# E (eV)  pdos(E) 
  -17.114000320   10.672395706
  -17.093999863   10.762888908
  -17.073999405   10.954001427
  -17.054000854   11.223194122
  -17.034000397   11.537002563
  -17.013999939   11.860611916
  -16.993999481   12.152191162
  -16.974000931   12.377309799
  -16.954000473   12.504810333
  -16.934000015   12.522008896
  -16.913999557   12.426504135
  -16.893999100   12.230200768
  -16.874000549   11.965496063
  -16.854000092   11.659298897
  -16.833999634   11.342302322
  -16.813999176   11.037196159
  -16.794000626   10.756901741
  -16.774000168   10.494494438
  -16.753999710   10.240293503
  -16.733999252    9.980795860
  -16.714000702    9.692293167
  -16.694000244    9.375200272
  -16.673999786    9.022099495
  -16.653999329    8.652094841
  -16.634000778    8.281300545
  -16.614000320    7.943001747
  -16.593999863    7.668201923
  -16.573999405    7.496497631
  -16.554000854    7.471005917
  -16.534000397    7.631602287
  -16.513999939    8.028703690
  -16.493999481    8.701501846
  -16.474000931    9.686603546
  -16.454000473   11.008490562
  -16.434000015   12.665792465
  -16.413999557   14.630594254
  -16.393999100   16.852701187
  -16.374000549   19.249317169
  -16.354000092   21.722103119
  -16.333999634   24.163717270
  -16.313999176   26.472295761
  -16.294000626   28.556680679
  -16.274000168   30.347097397
  -16.253999710   31.803577423
  -16.233999252   32.912281036
  -16.214000702   33.686183929
  -16.194000244   34.162765503
  -16.173999786   34.397594452
  -16.153999329   34.453979492
  -16.134000778   34.401496887
  -16.114000320   34.292594910
  -16.093999863   34.173362732
  -16.073999405   34.063381195
  -16.054000854   33.969280243
  -16.034000397   33.877887726
  -16.013999939   33.766696930
  -15.994000435   33.620285034
  -15.973999977   33.419189453
  -15.954000473   33.162284851
  -15.934000015   32.855972290
  -15.913999557   32.523693085
  -15.894000053   32.185379028
  -15.873999596   31.868686676
  -15.854000092   31.594289780
  -15.833999634   31.372783661
  -15.814000130   31.206277847
  -15.793999672   31.089063644
  -15.774000168   31.011371613
  -15.753999710   30.961269379
  -15.734000206   30.933498383
  -15.713999748   30.915390015
  -15.694000244   30.907487869
  -15.673999786   30.899688721
  -15.654000282   30.893989563
  -15.633999825   30.882383347
  -15.614000320   30.872093201
  -15.593999863   30.868585587
  -15.574000359   30.886381149
  -15.553999901   30.943195343
  -15.534000397   31.058895111
  -15.513999939   31.240785599
  -15.494000435   31.490713120
